,id,claim,text_embedding,label
13,13,"Τον Δεκέμβριο του 2023, η Disney ανακοίνωσε τον κινούμενο χαρακτήρα ""Moana"" μεταβάσεις ""από ένα κορίτσι σε ένα αγόρι"" σε μια επερχόμενη συνέχεια της ταινίας της 2016, καθιστώντας την την πρώτη πριγκίπισσα Trans Disney.","[-0.02622957 -0.02733424 -0.00295757 ...  0.03344848 -0.00645142
  0.00104366]",4.0
14,14,"Τον Δεκέμβριο του 2023, ο θεωρητικός συνωμοσίας Alex Jones 'Twitter/X Account, @RealAlexjones, αποκαταστάθηκε από τον Elon Musk αφού είχε απαγορευτεί για καταχρηστική συμπεριφορά από το 2018.","[-0.00231298 -0.00350956 -0.0010025  ... -0.00213172 -0.00223117
 -0.01255615]",1.0
15,15,"Ορισμένες σφαίρες χιονιού περιέχουν το αντιψυκτικό συστατικό αιθυλενογλυκόλη, η οποία είναι επικίνδυνη για τα κατοικίδια ζώα.","[ 0.00683641 -0.00436771  0.00187164 ... -0.01582288 -0.00374007
 -0.01552677]",1.0
16,16,Μια συλλογή εικόνων απεικονίζει αυθεντικά το cast των ταινιών του Χάρι Πότερ που παίζουν σε ένα rave στα τέλη της δεκαετίας του 1990.,"[ 0.00161844 -0.03763407 -0.00885078 ...  0.00384773  0.0005262
 -0.01549716]",0.0
17,17,Μια εναέρια φωτογραφία απεικόνισε πραγματικά το πάρκο Golden Gate στο Σαν Φρανσίσκο της Καλιφόρνια.,"[ 1.34940129e-02 -9.11528990e-03 -1.41706653e-02 ... -9.88140382e-05
 -5.42297959e-03 -1.56280696e-02]",1.0
18,18,"Ο συντηρητικός πολιτικός σχολιαστής Candace Owens έριξε τη Joy Behar από την ""The View"" την πρώτη της ημέρα ως συν-φιλοξενούμενο της παράστασης.","[-0.00803532 -0.02966479  0.01910636 ... -0.00569529 -0.01625705
 -0.01421992]",4.0
19,19,"Μια πραγματική φωτογραφία που μοιράστηκε γύρω από τα κοινωνικά μέσα ενημέρωσης τον Δεκέμβριο του 2023 δείχνει ότι ο Elon Musk κρατώντας μια σημαία που λέει ότι ""ο Trump κέρδισε, οι Δημοκρατικοί εξαπατούσαν"".","[-0.01388356 -0.00778929  0.00031721 ...  0.018671   -0.00070073
 -0.01720889]",0.0
20,20,"Ο Πύργος του Άιφελ στο Παρίσι φωτίστηκε με λαμπερό ροζ τον Δεκέμβριο του 2023 για να γιορτάσει την κυκλοφορία του rapper και του νέου άλμπουμ ""Pink Friday 2"" του τραγουδιστή Nicki Minaj.","[-0.0170345  -0.01822446 -0.02667057 ... -0.00527074 -0.02041036
 -0.00726909]",0.0
21,21,"Οι εικόνες απεικόνιζαν αυθεντικά μια δημοσίευση στο Facebook από την Flat Earth Society στην οποία ισχυρίστηκε ότι έχει ""μέλη σε όλο τον κόσμο"".","[-0.01547928  0.0163021  -0.00974526 ... -0.00291683 -0.015505
 -0.04420081]",0.0
22,22,"Τον Δεκέμβριο του 2023, ο Mel Gibson υποστήριξε από ένα έργο ύψους 33 εκατομμυρίων δολαρίων με τον Robert de Niro, τον αποκαλώντας ""ανατριχιαστικό"".","[-0.0178287  -0.03016967 -0.01683679 ... -0.01513636 -0.00713019
 -0.00754886]",4.0
23,23,"Ο Macaulay Culkin θα επιστρέψει για μια νέα ταινία ""Home Alone"" με τίτλο ""Cabin Alone"" στη Disney+.","[-0.00346246 -0.01792783 -0.012016   ...  0.0110478  -0.00413892
 -0.01409348]",4.0
24,24,"Μια θέση 20 Νοεμβρίου 2023, που κυκλοφόρησε στο Facebook δείχνει αυθεντικά μια αφίσα ταινιών για μια επερχόμενη επανεκκίνηση του ""Die Hard"" με πρωταγωνιστή τον John Krasinski.","[-2.38762721e-02 -1.96559150e-02 -2.16097832e-02 ... -2.78629770e-04
 -7.35753565e-05 -1.19511615e-02]",4.0
25,25,"Ο ηθοποιός Anthony Hopkins είπε κάποτε: ""Η φιλοσοφία μου είναι: δεν είναι δουλειά μου τι λένε οι άνθρωποι για μένα και σκέφτονται για μένα. Είμαι αυτό που είμαι και κάνω ό, τι κάνω. Δεν περιμένω τίποτα και δέχομαι τα πάντα. Και κάνει τη ζωή τόσο ευκολότερη. ""","[ 0.00665845 -0.00124846  0.0109479  ... -0.01986163 -0.02333615
 -0.02923651]",2.0
26,26,"Ο τεχνικός επιχειρηματίας Elon Musk μετατοπίζει την έδρα του X από την Silicon Valley στην Καλιφόρνια στο Τέξας, λέγοντας: ""Θα προτιμούσα να τρώω βρωμιά από το να ζήσω στο"" Woke ""California"".","[ 0.02130781 -0.03000838 -0.00945542 ...  0.02252615 -0.01354747
 -0.01557364]",4.0
27,27,"Τον Δεκέμβριο του 2023, ο ηθοποιός Jim Caviezel αρνήθηκε να συνεργαστεί με τον Robert de Niro σε μια ταινία και τον ονόμασε ""έναν φοβερό, άδικο άνθρωπο"".","[-0.02637803 -0.02293522  0.01279031 ...  0.00759444 -0.00323713
 -0.00937914]",4.0
28,28,Η NASA εγκαθιστά το διαδίκτυο στο φεγγάρι.,"[ 0.00589808 -0.0029228  -0.00974923 ...  0.00975579 -0.00837148
 -0.00288836]",1.0
29,29,"Ο πρώην αστέρας του ποδοσφαίρου Megan Rapinoe και ο συν-φιλοξενούμενος τηλεοπτικός Whoopi Goldberg ξεκίνησαν το talk show ""The View"" μετά από μια θερμαινόμενη και τεταμένη ανταλλαγή.","[ 0.00984119 -0.0325895   0.01291369 ...  0.00518648 -0.01808048
 -0.01867134]",4.0
30,30,Το βίντεο που μοιράστηκε το Νοέμβριο του 2023 αυθεντικά έδειξε Big Ben σε ένα τεράστιο σακάκι North Face.,"[-0.00360705 -0.01088228  0.00551515 ... -0.00064756 -0.016539
 -0.03874116]",0.0
31,31,"Ο πρώην πρόεδρος των ΗΠΑ Donald Trump μοιράστηκε μια μετά την υποστήριξη της επανεκλογής του για την Social Social που συνδέεται με ένα άρθρο της Ουάσινγκτον μετά το άρθρο, ""Μια δικτατορία Trump είναι ολοένα και πιο αναπόφευκτη.","[-0.02660616  0.00515041  0.01970875 ...  0.00600127  0.00720799
 -0.0179488 ]",1.0
32,32,"Τον Νοέμβριο του 2023, ένας τίτλος ανέφερε με ακρίβεια ότι η Netflix είχε ακυρώσει την εποχή 5 των ""Stranger Things"".","[-0.00934162 -0.0465985   0.01154647 ...  0.01398986  0.00560884
 -0.00920623]",0.0
33,33,"Μια παλιά Χριστουγεννιάτικη εικόνα της Michelle Obama με κομμένα μαλλιά και αρσενικά χαρακτηριστικά που στέκονται με τον μελλοντικό σύζυγό της, Μπαράκ Ομπάμα, είναι μια αυθεντική φωτογραφία της μελλοντικής Πρώτης Κυρίας.","[-0.02632939 -0.01453642 -0.03453376 ...  0.01161094 -0.00943307
 -0.03645808]",0.0
34,34,"Ένα βίντεο που καταγράφηκε τον Νοέμβριο του 2023 απεικονίζει αυθεντικά έναν στρατιωτικό παρεκκλήσι των ΗΠΑ που προσεύχεται παράλληλα με τον Πρόεδρο των ΗΠΑ Joe Biden για να «επαναφέρει τον πραγματικό πρόεδρο, Donald J. Trump».","[-0.03256155 -0.02355243 -0.0089319  ... -0.00361008  0.00277031
 -0.00713651]",0.0
35,35,"Περισσότεροι από τους μισούς ψηφοφόρους που ο Taylor Swift προέτρεψε να εγγραφεί θεωρήθηκε ""μη επιλέξιμο ή ψεύτικο"".","[-0.02154512 -0.00973966 -0.00297123 ...  0.01102416 -0.00537635
 -0.02104191]",4.0
36,36,Μια ηλεκτρονική διαφήμιση που εμφανίστηκε τον Δεκέμβριο του 2023 ανέφερε με ακρίβεια ότι η αλυσίδα Fast-Food Chick-Fil-A προγραμματίστηκε να κλείσει το 2024.,"[-0.00231204 -0.01785716 -0.01861619 ...  0.01502079 -0.00890195
 -0.03267821]",0.0
37,37,"Σε μια συνέντευξη ειδήσεων ""ειδικής έκθεσης"" τον Δεκέμβριο του 2023, ο πρόεδρος της Ουκρανίας Volodymyr Zelenskyy ""ζήτησε από τους δυτικούς ηγέτες να στείλουν όλα τα χρήματά τους στην Ουκρανία και τους είπαν:"" Μην χτίζετε δρόμους, ξοδεύετε όλα τα χρήματά σας για τα όπλα, τα αεροσκάφη, την κοινωνία, την κοινωνία Και συντάξεις ... έχουμε μόνο έναν εχθρό: Πούτιν. ""","[-0.00562098 -0.01940965  0.00563075 ... -0.00176022  0.00113657
 -0.01826331]",3.0
38,38,Μια ηλεκτρονική διαφήμιση αναφέρει με ακρίβεια ότι η Disney προσλαμβάνει για απομακρυσμένες θέσεις εργασίας για την εισαγωγή δεδομένων και την εξυπηρέτηση πελατών.,"[-0.00699028 -0.01829472 -0.00680828 ...  0.02411883 -0.01147296
 -0.01515347]",0.0
39,39,"Τον Δεκέμβριο του 2023, ο Warner Bros. ανακοίνωσε ότι θα τερματίσει μια συμφωνία παραγωγής 50 εκατομμυρίων δολαρίων με τον αναγνωρισμένο σκηνοθέτη Rob Reiner επειδή «εξαπλώθηκε πάρα πολύ wokeness».","[-0.00360789 -0.05106349 -0.02560892 ...  0.01441868 -0.00568837
 -0.01661815]",4.0
40,40,"Εάν έχετε βηματοδότη, μπορείτε να το δωρίσετε σε ένα σκυλί αφού πεθάνετε.","[-0.00221018  0.0049072  -0.00764776 ...  0.00380131 -0.00024524
 -0.02229844]",1.0
41,41,Ο Mark Wahlberg θα συμμετάσχει στους μουσικούς Jason Aldean και Kid Rock σε περιοδεία.,"[-0.00122802 -0.02103382  0.00311886 ... -0.01457254 -0.01570609
  0.00663132]",4.0
42,42,"Η Disney και η Pixar ανακοίνωσαν ότι ένα remake της κινούμενης κλασικής ταινίας του 1988 ""The Land Before Time"" θα κυκλοφορήσει στις κινηματογραφικές αίθουσες τον Ιανουάριο του 2025.","[ 0.00490253 -0.02866291 -0.02166293 ...  0.01058921 -0.01243802
 -0.00970306]",4.0
43,43,Οι αυθεντικές φωτογραφίες δείχνουν ότι ο Taylor Swift ντυμένος με ρούχα που μοιάζουν με κούκλες για μια φωτογράφηση στο περιοδικό New York Times το 2009.,"[-0.01430677 -0.01439683 -0.00022957 ...  0.01820511 -0.00577996
 -0.01609511]",1.0
44,44,"Μια διαδικτυακή διαφήμιση ανέφερε με ακρίβεια ότι ""η πιο διάσημη μάρκα Burger της Αμερικής είναι τώρα κινεζική"".","[-0.01664433  0.01040765  0.00968829 ... -0.00127291 -0.01242715
 -0.01960097]",0.0
45,45,"Ένα άρθρο του Δεκεμβρίου του 2023 ισχυρίζεται με ακρίβεια ότι ο Mel Gibson απέρριψε έναν κινηματογραφικό ρόλο αξίας 35 εκατομμυρίων δολαρίων επειδή σκέφτηκε ότι ο διευθυντής Rob Reiner ήταν πάρα πολύ ""ξύπνησε"".","[-0.00508288 -0.01637422 -0.00598463 ... -0.00425574 -0.0041195
 -0.01830746]",4.0
46,46,Μια εικόνα που μοιράζεται στα κοινωνικά μέσα ενημέρωσης τον Δεκέμβριο του 2023 απεικονίζει πραγματικά τον ήλιο.,"[ 0.00606848 -0.0047403  -0.00609742 ...  0.02035047  0.00223347
 -0.02492997]",1.0
47,47,Μια εικόνα από τη δεκαετία του 1960 απεικονίζει αυθεντικά την προσωπικότητα της τηλεόρασης Bob Ross στο στρατό.,"[-0.01207785 -0.02455211 -0.00053948 ...  0.02120177 -0.00213392
 -0.01114436]",1.0
48,48,"Το ""πολυαναμενόμενο νέο show"" της Roseanne Barr ""έσπασε το αρχείο τηλεθεατών της ημέρας της"" The View "".","[-0.01567171 -0.02700114  0.02611952 ...  0.01390848 -0.02096141
 -0.02671165]",4.0
49,49,Μια ηλεκτρονική διαφήμιση που εμφανίστηκε τον Δεκέμβριο του 2023 δήλωσε ότι η αλυσίδα Burger Five Guys σχεδίαζε να κλείσει το 2024.,"[-0.00299797 -0.01428539 -0.00168083 ... -0.0055274   0.0171949
 -0.02264694]",0.0
50,50,"Ένα βίντεο που μοιράστηκε στο X δείχνει τον πρώην Δημοκρατικό προεδρικό υποψήφιο Χίλαρι Κλίντον που απειλεί οποιονδήποτε θα μπορούσε να επιδιώξει να «συνδέσει» τον σύζυγό της, τον πρώην πρόεδρο των ΗΠΑ Μπιλ Κλίντον, στον καταδικασθέντα σεξουαλικό δράστη Jeffrey Epstein.","[-0.00924463 -0.01927413 -0.00292393 ... -0.00612449 -0.02624781
 -0.01605749]",0.0
51,51,"Ένα βίντεο που μοιράστηκε στις 10 Δεκεμβρίου 2023, έδειξε ένα πλήθος που ψάλλει το ""F*CK Joe Biden"" κατά τη διάρκεια ενός ποδοσφαιρικού παιχνιδιού στρατού.","[-0.02613558 -0.02437262 -0.00650173 ... -0.01427098  0.01127266
 -0.0365718 ]",0.0
52,52,Μια εικόνα που μοιράστηκε στις αρχές Δεκεμβρίου του 2023 έδειξε αυθεντικά έναν στρατιώτη IDF προφανώς δείχνοντας ένα όπλο σε μια παλαιστινιακή μητέρα και δύο παιδιά.,"[-0.0143115  -0.00073843 -0.01739136 ...  0.00763411  0.00227385
 -0.00374497]",0.0
53,53,"Τον Δεκέμβριο του 2023, η Disney ανακοίνωσε τον κινούμενο χαρακτήρα ""Moana"" μεταβάσεις ""από ένα κορίτσι σε ένα αγόρι"" σε μια επερχόμενη συνέχεια της ταινίας της 2016, καθιστώντας την την πρώτη πριγκίπισσα Trans Disney.","[-0.02622957 -0.02733424 -0.00295757 ...  0.03344848 -0.00645142
  0.00104366]",4.0
54,54,"Τον Δεκέμβριο του 2023, ο θεωρητικός συνωμοσίας Alex Jones 'Twitter/X Account, @RealAlexjones, αποκαταστάθηκε από τον Elon Musk αφού είχε απαγορευτεί για καταχρηστική συμπεριφορά από το 2018.","[-0.00231298 -0.00350956 -0.0010025  ... -0.00213172 -0.00223117
 -0.01255615]",1.0
55,55,"Ορισμένες σφαίρες χιονιού περιέχουν το αντιψυκτικό συστατικό αιθυλενογλυκόλη, η οποία είναι επικίνδυνη για τα κατοικίδια ζώα.","[ 0.00683084 -0.00435216  0.00185901 ... -0.01585064 -0.00375986
 -0.01560599]",1.0
56,56,Μια συλλογή εικόνων απεικονίζει αυθεντικά το cast των ταινιών του Χάρι Πότερ που παίζουν σε ένα rave στα τέλη της δεκαετίας του 1990.,"[ 0.00161844 -0.03763407 -0.00885078 ...  0.00384773  0.0005262
 -0.01549716]",0.0
57,57,Μια εναέρια φωτογραφία απεικόνισε πραγματικά το πάρκο Golden Gate στο Σαν Φρανσίσκο της Καλιφόρνια.,"[ 1.34940129e-02 -9.11528990e-03 -1.41706653e-02 ... -9.88140382e-05
 -5.42297959e-03 -1.56280696e-02]",1.0
58,58,"Ο συντηρητικός πολιτικός σχολιαστής Candace Owens έριξε τη Joy Behar από την ""The View"" την πρώτη της ημέρα ως συν-φιλοξενούμενο της παράστασης.","[-0.00803532 -0.02966479  0.01910636 ... -0.00569529 -0.01625705
 -0.01421992]",4.0
59,59,"Μια πραγματική φωτογραφία που μοιράστηκε γύρω από τα κοινωνικά μέσα ενημέρωσης τον Δεκέμβριο του 2023 δείχνει ότι ο Elon Musk κρατώντας μια σημαία που λέει ότι ""ο Trump κέρδισε, οι Δημοκρατικοί εξαπατούσαν"".","[-0.01388356 -0.00778929  0.00031721 ...  0.018671   -0.00070073
 -0.01720889]",0.0
60,60,"Ο Πύργος του Άιφελ στο Παρίσι φωτίστηκε με λαμπερό ροζ τον Δεκέμβριο του 2023 για να γιορτάσει την κυκλοφορία του rapper και του νέου άλμπουμ ""Pink Friday 2"" του τραγουδιστή Nicki Minaj.","[-0.0170345  -0.01822446 -0.02667057 ... -0.00527074 -0.02041036
 -0.00726909]",0.0
61,61,"Οι εικόνες απεικόνιζαν αυθεντικά μια δημοσίευση στο Facebook από την Flat Earth Society στην οποία ισχυρίστηκε ότι έχει ""μέλη σε όλο τον κόσμο"".","[-0.01547928  0.0163021  -0.00974526 ... -0.00291683 -0.015505
 -0.04420081]",0.0
62,62,"Τον Δεκέμβριο του 2023, ο Mel Gibson υποστήριξε από ένα έργο ύψους 33 εκατομμυρίων δολαρίων με τον Robert de Niro, τον αποκαλώντας ""ανατριχιαστικό"".","[-0.01782794 -0.03024567 -0.01691336 ... -0.0151486  -0.00723294
 -0.00748413]",4.0
63,63,"Ο Macaulay Culkin θα επιστρέψει για μια νέα ταινία ""Home Alone"" με τίτλο ""Cabin Alone"" στη Disney+.","[-0.00360449 -0.01833963 -0.0121303  ...  0.01129085 -0.00438626
 -0.01395657]",4.0
64,64,"Μια θέση 20 Νοεμβρίου 2023, που κυκλοφόρησε στο Facebook δείχνει αυθεντικά μια αφίσα ταινιών για μια επερχόμενη επανεκκίνηση του ""Die Hard"" με πρωταγωνιστή τον John Krasinski.","[-0.02382296 -0.01957677 -0.02151751 ... -0.00034618 -0.00017838
 -0.01189845]",4.0
65,65,"Ο ηθοποιός Anthony Hopkins είπε κάποτε: ""Η φιλοσοφία μου είναι: δεν είναι δουλειά μου τι λένε οι άνθρωποι για μένα και σκέφτονται για μένα. Είμαι αυτό που είμαι και κάνω ό, τι κάνω. Δεν περιμένω τίποτα και δέχομαι τα πάντα. Και κάνει τη ζωή τόσο ευκολότερη. ""","[ 0.00661154 -0.00123059  0.01094977 ... -0.01990407 -0.02325089
 -0.02922463]",2.0
66,66,"Ο τεχνικός επιχειρηματίας Elon Musk μετατοπίζει την έδρα του X από την Silicon Valley στην Καλιφόρνια στο Τέξας, λέγοντας: ""Θα προτιμούσα να τρώω βρωμιά από το να ζήσω στο"" Woke ""California"".","[ 0.02130781 -0.03000838 -0.00945542 ...  0.02252615 -0.01354747
 -0.01557364]",4.0
67,67,"Τον Δεκέμβριο του 2023, ο ηθοποιός Jim Caviezel αρνήθηκε να συνεργαστεί με τον Robert de Niro σε μια ταινία και τον ονόμασε ""έναν φοβερό, άδικο άνθρωπο"".","[-0.02638114 -0.0229759   0.01282346 ...  0.00753204 -0.00329448
 -0.00937391]",4.0
68,68,Η NASA εγκαθιστά το διαδίκτυο στο φεγγάρι.,"[ 0.00589808 -0.0029228  -0.00974923 ...  0.00975579 -0.00837148
 -0.00288836]",1.0
69,69,"Ο πρώην αστέρας του ποδοσφαίρου Megan Rapinoe και ο συν-φιλοξενούμενος τηλεοπτικός Whoopi Goldberg ξεκίνησαν το talk show ""The View"" μετά από μια θερμαινόμενη και τεταμένη ανταλλαγή.","[ 0.00984119 -0.0325895   0.01291369 ...  0.00518648 -0.01808048
 -0.01867134]",4.0
70,70,Το βίντεο που μοιράστηκε το Νοέμβριο του 2023 αυθεντικά έδειξε Big Ben σε ένα τεράστιο σακάκι North Face.,"[-0.00360705 -0.01088228  0.00551515 ... -0.00064756 -0.016539
 -0.03874116]",0.0
71,71,"Ο πρώην πρόεδρος των ΗΠΑ Donald Trump μοιράστηκε μια μετά την υποστήριξη της επανεκλογής του για την Social Social που συνδέεται με ένα άρθρο της Ουάσινγκτον μετά το άρθρο, ""Μια δικτατορία Trump είναι ολοένα και πιο αναπόφευκτη.","[-0.02660616  0.00515041  0.01970875 ...  0.00600127  0.00720799
 -0.0179488 ]",1.0
72,72,"Τον Νοέμβριο του 2023, ένας τίτλος ανέφερε με ακρίβεια ότι η Netflix είχε ακυρώσει την εποχή 5 των ""Stranger Things"".","[-0.00934162 -0.0465985   0.01154647 ...  0.01398986  0.00560884
 -0.00920623]",0.0
73,73,"Μια παλιά Χριστουγεννιάτικη εικόνα της Michelle Obama με κομμένα μαλλιά και αρσενικά χαρακτηριστικά που στέκονται με τον μελλοντικό σύζυγό της, Μπαράκ Ομπάμα, είναι μια αυθεντική φωτογραφία της μελλοντικής Πρώτης Κυρίας.","[-0.02633886 -0.01452865 -0.03452017 ...  0.01161511 -0.00942346
 -0.03654924]",0.0
74,74,"Ένα βίντεο που καταγράφηκε τον Νοέμβριο του 2023 απεικονίζει αυθεντικά έναν στρατιωτικό παρεκκλήσι των ΗΠΑ που προσεύχεται παράλληλα με τον Πρόεδρο των ΗΠΑ Joe Biden για να «επαναφέρει τον πραγματικό πρόεδρο, Donald J. Trump».","[-0.03256155 -0.02355243 -0.0089319  ... -0.00361008  0.00277031
 -0.00713651]",0.0
75,75,"Ένα βίντεο που δημοσιεύτηκε στο Χ τον Δεκέμβριο του 2023, με τίτλο ""Ισραηλινοί που τρέχουν πάνω από παιδιά"", δείχνει αυθεντικά δύο παιδιά που χτυπήθηκαν από έναν οδηγό σε ένα αυτοκίνητο hatchback.","[-0.00133306  0.00546789  0.01069032 ...  0.0008373  -0.01707867
 -0.00742832]",1.0
76,76,"Τον Δεκέμβριο του 2023, ανακοινώθηκε ότι ο Candace Owens αντικατέστησε επίσημα τον Whoopi Goldberg στο talk show ""The View"".","[-0.01101086 -0.02302681  0.01010242 ... -0.00140616 -0.01253782
  0.00352425]",4.0
77,77,"Ο τραγουδιστής της χώρας George Strait είπε ότι ο Garth Brooks είναι ""όχι ένας από εμάς"", και ότι ""η πράξη του ήταν βαρετή και ξεπερασμένη πριν από χρόνια, οπότε κάλεσε τα ονόματα των ανθρώπων να παραμείνουν σχετικοί. Μήπως κάποιος άλλος γελάει όταν κάνει το πράγμα που χορεύει στη σκηνή μόνος του; ""","[-0.00464415 -0.01927081  0.02011929 ... -0.02364177 -0.01024605
 -0.02056924]",4.0
78,78,Η Αλαμπάμα ήταν το πρώτο κράτος των Η.Π.Α. που ορίστηκε νόμιμα Χριστούγεννα σε κρατικές διακοπές.,"[ 0.00816634 -0.02422922 -0.0255848  ...  0.00185569  0.0101339
 -0.00795577]",0.0
79,79,"Κατά τη διάρκεια της 2ης Δεκεμβρίου 2023, η ομιλία της εκστρατείας, ο πρώην Πρόεδρος Donald Trump δήλωσε ότι ""διεξήγαμε έναν πόλεμο για την αμερικανική δημοκρατία"".","[-0.01673594 -0.01644097 -0.00716247 ... -0.00354917  0.01070843
 -0.01515853]",0.0
80,80,Μια συλλογή εικόνων απεικονίζει αυθεντικά το cast των ταινιών του Χάρι Πότερ που παίζουν σε ένα rave στα τέλη της δεκαετίας του 1990.,"[ 0.00161844 -0.03763407 -0.00885078 ...  0.00384773  0.0005262
 -0.01549716]",0.0
81,81,"Η Fox News ανέφερε ότι ο πρώην δικηγόρος υπεράσπισης του προέδρου των ΗΠΑ Donald Trump Alina Habba διαθέτει δικηγορικό γραφείο με πέντε ομοσπονδιακές φορολογικές ενδείξεις συνολικού ύψους 1,7 εκατομμυρίων δολαρίων.","[-0.00262369  0.00905738  0.01101981 ... -0.01408488  0.01310039
 -0.01907301]",4.0
82,82,"Όπως αναφέρεται σε ένα μνημόνιο στο διαδίκτυο, το πόσιμο κόκκινο κρασί φέρει οφέλη για την υγεία, όπως η αύξηση της υγείας της καρδιάς, η βελτίωση του ύπνου, η καύση του λίπους και η ασθένεια μάχης.","[ 0.02005336 -0.00250993  0.01252033 ... -0.01126374 -0.01660262
 -0.00946675]",3.0
83,83,"Μια ιστορία στο The Washington Post που δημοσιεύθηκε στις 29 Νοεμβρίου 2023, αποκάλυψε με ακρίβεια ότι ο Henry Kissinger είχε απορρίψει μια θέση στο σκάφος στην τεχνολογική εταιρεία OpenAi Days πριν πεθάνει.","[ 0.00489666 -0.01323062  0.00918165 ...  0.00080157 -0.00635269
 -0.01088368]",0.0
84,84,"Αφού ο Elon Musk είπε στους διαφημιζόμενους, συμπεριλαμβανομένου του Διευθύνοντος Συμβούλου της Disney Bob Iger, για να πάει ""Fuck Yourself"", ο Iger απάντησε, ""Έχω πολύ σεβασμό για τον Elon και αυτό που έχει επιτύχει. [...] Θεωρήσαμε ότι η σχέση με αυτή τη θέση και το Elon Musk και το X δεν ήταν απαραιτήτως θετικό για εμάς και αποφασίσαμε ότι θα τραβήξουμε τη διαφήμισή μας. ""","[ 0.00738177 -0.01114693 -0.00553794 ... -0.02179011 -0.00314516
 -0.01296169]",0.0
